shapeClass,LenPch,Pch2Ach,AltAch,PchPer,AchAerAlt,AltAer
Cirle,75.31086,0.01822,0.89912,0.80269,0.88433,0.7149
Cirle,66.30094,0.01656,0.82851,0.78656,0.94924,0.65158
Cirle,61.17853,0.02342,0.86546,0.79217,0.91091,0.6823
Cirle,51.34823,0.02617,0.95789,0.80231,0.81842,0.75094
Diamond,39.09845,0.02533,0.99303,0.70808,0.51108,0.50397
Ellipse,62.70426,0.02794,0.87173,0.84681,0.96244,0.73136
Ellipse,73.88622,0.02573,0.91407,0.82474,0.84863,0.70906
Ellipse,35.07691,0.01861,0.95274,0.76989,0.67324,0.61112
Rectangle,69.96326,0.02667,1.01278,0.97271,0.95125,0.97572
Rectangle,88.95705,0.01771,1,1,1,1
Rectangle,54.19859,0.03325,1.13473,0.87253,0.69039,0.88896
Rectangle,52.74196,0.03396,0.97279,0.8757,0.85581,0.80988
Triangle,38.46592,0.03097,1.76628,0.79322,0.30728,0.95862
Triangle,51.74179,0.02588,1.98326,0.80878,0.25424,1
Triangle,64.78532,0.0333,1.86541,0.84548,0.28295,0.98458
